Dataset,Samples,Features,Pegasos_Acc,Pegasos_Time,Pegasos_Params,SGD_Acc,SGD_Time,SGD_Params,SCS_Acc,SCS_Time,SCS_Params
avila_bible,2000,10,0.7012499999999999,0.05688776969909668,{'gamma': 0.5},0.7012499999999999,0.061493635177612305,"{'gamma': 0.5, 'eta': 0.0001}",0.449,0.7499574184417724,{'gamma': 0.020000000000000004}
breast_cancer,500,30,0.9559999999999998,0.0075593233108520504,{'gamma': 0.16666666666666666},0.952,0.008066296577453613,"{'gamma': 0.16666666666666666, 'eta': 0.001}",0.9110000000000001,0.043485045433044434,{'gamma': 0.16666666666666666}
heart_failure,270,13,0.8037037037037036,0.002202463150024414,{'gamma': 0.38461538461538464},0.8185185185185185,0.0028511524200439454,"{'gamma': 0.38461538461538464, 'eta': 0.0001}",0.7814814814814814,0.024943733215332033,{'gamma': 0.38461538461538464}
magic_telescope,5000,10,0.7737,0.30667963027954104,{'gamma': 0.5},0.7744000000000002,0.32321178913116455,"{'gamma': 0.5, 'eta': 0.001}",0.6902999999999999,11.709882426261903,{'gamma': 0.5}
room_occupancy,7500,16,0.9838666666666667,0.880903959274292,{'gamma': 0.3125},0.9834666666666667,0.9727704048156738,"{'gamma': 0.3125, 'eta': 0.0001}",0.9362,43.80249798297882,{'gamma': 0.3125}
wine_quality,680,11,0.7227941176470589,0.009508275985717773,{'gamma': 0.4545454545454546},0.7272058823529411,0.011011457443237305,"{'gamma': 0.4545454545454546, 'eta': 0.001}",0.5970588235294118,0.06161496639251709,{'gamma': 0.4545454545454546}
